instant,date,season,year,month,hours,holiday,one_week,category_day,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,total_count,status,time_category
1,2011-01-01,Spring,2011,Jan,0,0,Saturday,Weekend,Clear,0.24,0.2879,81.0,0.0,3,13,16,Rendah,Dini Hari
2,2011-01-01,Spring,2011,Jan,1,0,Saturday,Weekend,Clear,0.22,0.2727,80.0,0.0,8,32,40,Rendah,Dini Hari
3,2011-01-01,Spring,2011,Jan,2,0,Saturday,Weekend,Clear,0.22,0.2727,80.0,0.0,5,27,32,Rendah,Dini Hari
4,2011-01-01,Spring,2011,Jan,3,0,Saturday,Weekend,Clear,0.24,0.2879,75.0,0.0,3,10,13,Rendah,Dini Hari
5,2011-01-01,Spring,2011,Jan,4,0,Saturday,Weekend,Clear,0.24,0.2879,75.0,0.0,0,1,1,Rendah,Dini Hari
6,2011-01-01,Spring,2011,Jan,5,0,Saturday,Weekend,Misty,0.24,0.2576,75.0,0.0896,0,1,1,Rendah,Dini Hari
7,2011-01-01,Spring,2011,Jan,6,0,Saturday,Weekend,Clear,0.22,0.2727,80.0,0.0,2,0,2,Rendah,Pagi
8,2011-01-01,Spring,2011,Jan,7,0,Saturday,Weekend,Clear,0.2,0.2576,86.0,0.0,1,2,3,Rendah,Pagi
9,2011-01-01,Spring,2011,Jan,8,0,Saturday,Weekend,Clear,0.24,0.2879,75.0,0.0,1,7,8,Rendah,Pagi
10,2011-01-01,Spring,2011,Jan,9,0,Saturday,Weekend,Clear,0.32,0.3485,76.0,0.0,8,6,14,Rendah,Pagi
11,2011-01-01,Spring,2011,Jan,10,0,Saturday,Weekend,Clear,0.38,0.3939,76.0,0.2537,12,24,36,Rendah,Pagi
12,2011-01-01,Spring,2011,Jan,11,0,Saturday,Weekend,Clear,0.36,0.3333,81.0,0.2836,26,30,56,Rendah,Pagi
13,2011-01-01,Spring,2011,Jan,12,0,Saturday,Weekend,Clear,0.42,0.4242,77.0,0.2836,29,55,84,Rendah,Siang
14,2011-01-01,Spring,2011,Jan,13,0,Saturday,Weekend,Misty,0.46,0.4545,72.0,0.2985,47,47,94,Rendah,Siang
15,2011-01-01,Spring,2011,Jan,14,0,Saturday,Weekend,Misty,0.46,0.4545,72.0,0.2836,35,71,106,Rendah,Siang
16,2011-01-01,Spring,2011,Jan,15,0,Saturday,Weekend,Misty,0.44,0.4394,77.0,0.2985,40,70,110,Rendah,Siang
17,2011-01-01,Spring,2011,Jan,16,0,Saturday,Weekend,Misty,0.42,0.4242,82.0,0.2985,41,52,93,Rendah,Siang
18,2011-01-01,Spring,2011,Jan,17,0,Saturday,Weekend,Misty,0.44,0.4394,82.0,0.2836,15,52,67,Rendah,Siang
19,2011-01-01,Spring,2011,Jan,18,0,Saturday,Weekend,Light_rainsnow,0.42,0.4242,88.0,0.2537,9,26,35,Rendah,Malam
20,2011-01-01,Spring,2011,Jan,19,0,Saturday,Weekend,Light_rainsnow,0.42,0.4242,88.0,0.2537,6,31,37,Rendah,Malam
21,2011-01-01,Spring,2011,Jan,20,0,Saturday,Weekend,Misty,0.4,0.4091,87.0,0.2537,11,25,36,Rendah,Malam
